,click,purchase,101,121,122,124,125,126,127,128,129,205,206,207,210,216,508,509,702,853,301,109_14,110_14,127_14,150_14,D109_14,D110_14,D127_14,D150_14,D508,D509,D702,D853
30,1,0,1,1,1,1,1,0,1,1,1,0,38,183,13852,0,25,25,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1953,0.0771,0.0,0.0
31,0,0,1,1,1,1,1,0,1,1,1,77,11,107,32,33,9,17,11,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3464,0.3438,0.412,0.0
32,0,0,1,1,1,1,1,0,1,1,1,46,9,69,38,0,7,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4568,0.0771,0.0,0.0
33,0,0,1,1,1,1,1,0,1,1,1,0,6,119,31829,0,5,21830,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4917,0.521,0.0,0.0
34,0,0,1,1,1,1,1,0,1,1,1,0,26,119,21245,0,17,21830,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.521,0.0,0.0
35,0,0,1,1,1,1,1,0,1,1,1,23351,26,1138,1313,721,17,18256,1395,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.0771,0.1594,0.0
36,0,0,1,1,1,1,1,0,1,1,1,0,26,38612,940,0,17,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.2444,0.0,0.0
37,0,0,1,1,1,1,1,0,1,1,1,0,34,52017,1777,8695,21,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.0,0.0,0.0
38,0,0,1,1,1,1,1,0,1,1,1,100592,32,76680,3925,81,120,0,5331,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0797,0.0
39,0,0,1,1,1,1,1,0,1,1,1,123657,17,102148,224,0,13,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2876,0.0,0.0,0.0
40,0,0,1,1,1,1,1,0,1,1,1,0,27,73536,181,163,18,31219,731,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.179,0.37,0.0
41,0,0,1,1,1,1,1,0,1,1,1,0,1649,119,11067,0,1571,21830,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.521,0.0,0.0
42,0,0,1,1,1,1,1,0,1,1,1,0,27,98734,99,11,18,40621,4,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.1222,0.265,0.0
43,0,0,1,1,1,1,1,0,1,1,1,75951,17,67271,66795,33599,13,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2876,0.0,0.0,0.0
44,0,0,1,1,1,1,1,0,1,1,1,0,41,38612,56181,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
45,0,0,1,1,1,1,1,0,1,1,1,172108,44,29,57925,20,28,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.07556,0.0,0.0,0.0
46,0,0,1,1,1,1,1,0,1,1,1,164977,35,166,11285,12413,22,0,3242,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.1263,0.0
47,0,0,1,1,1,1,1,0,1,1,1,4852,73,5029,1248,136,45,0,34,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.0,0.0797,0.0
48,0,0,1,1,1,1,1,0,1,1,1,114923,41,51834,8514,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
49,0,0,1,1,1,1,1,0,1,1,1,135047,12,109506,102,51284,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
50,0,0,1,1,1,1,1,0,1,1,1,82629,13,72643,5173,1790,10,0,0,1306,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.3706,0.0,0.0,0.3389
51,0,0,1,1,1,1,1,0,1,1,1,0,6,0,12666,2,5,0,1,16,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4917,0.1222,0.49,0.2451
52,0,0,1,1,1,1,1,0,1,1,1,233930,35,168967,919,0,22,0,0,20,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0771,0.0,0.11914
53,0,0,1,1,1,1,1,0,1,1,1,0,106,38612,2969,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
54,1,0,1,1,1,1,1,0,1,1,1,16,8,26,27,17,6,0,4780,181,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4385,0.0771,0.0797,0.2383
55,0,0,1,1,1,1,1,0,1,1,1,13689,48,13663,938,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
56,0,0,1,1,1,1,1,0,1,1,1,0,8,119,10,0,6,21830,0,19,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4385,0.521,0.0,0.2343
57,0,0,1,1,1,1,1,0,1,1,1,0,34,13182,205,23009,21,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.1511,0.0,0.0,0.0
58,0,0,1,1,1,1,1,0,1,1,1,0,3564,38612,0,169,0,18662,81,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.1263,0.0
59,0,0,1,1,1,1,1,0,1,1,1,220380,6,127773,15039,441,5,0,110,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4917,0.0,0.1594,0.0
60,0,0,1,1,1,1,1,0,1,1,1,40922,17,37960,5011,20202,13,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2876,0.0,0.0,0.0
61,0,0,1,1,1,1,1,0,1,1,1,0,458,31313,41075,136,249,0,34,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.07556,0.0,0.0797,0.0
62,1,0,1,1,1,1,1,0,1,1,1,0,8,119,54157,0,6,21830,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4385,0.521,0.0,0.0
63,0,0,1,1,1,1,1,0,1,1,1,274799,9,170586,61506,0,7,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4568,0.0,0.0,0.0
64,0,0,1,1,1,1,1,0,1,1,1,0,19,0,4023,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
65,0,0,1,1,1,1,1,0,1,1,1,0,19,38612,389,0,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
66,0,0,1,1,1,1,1,0,1,1,1,307167,77,38612,2183,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
67,0,0,1,1,1,1,1,0,1,1,1,0,8,119,169,0,6,21830,0,19,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4385,0.521,0.0,0.2343
68,0,0,1,1,1,1,1,0,1,1,1,41701,19,38612,2237,0,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
69,0,0,1,1,1,1,1,0,1,1,1,0,66,38612,4702,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
70,1,0,1,1,1,1,1,0,1,1,1,0,53,179,64446,102,33,0,25,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2268,0.2313,0.2527,0.0
71,0,0,1,1,1,1,1,0,1,1,1,0,241,38612,6154,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
72,0,0,1,1,1,1,1,0,1,1,1,162806,17,126367,12826,58039,13,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.2876,0.0,0.0,0.0
73,0,0,1,1,1,1,1,0,1,1,1,217917,247,38612,62845,21087,152,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.2444,0.0,0.0
74,0,0,1,1,1,1,1,0,1,1,1,0,130,17246,3023,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
75,0,0,1,1,1,1,1,0,1,1,1,17497,247,17255,3474,358,152,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0,0.0
76,0,0,1,1,1,1,1,0,1,1,1,164983,35,166,2354,0,22,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0,0.0
77,0,0,1,1,1,1,1,0,1,1,1,200639,19,83443,361,0,0,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0,0.0,0.0
78,0,0,1,1,1,1,1,0,1,1,1,0,9,119,19,76,7,21830,3582,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4568,0.521,0.2856,0.0
79,0,0,1,1,1,1,1,0,1,1,1,0,6,55648,6720,25607,5,0,7489,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4917,0.0,0.0797,0.0
80,0,0,1,1,1,1,1,0,1,1,1,3899,247,4070,1823,2493,152,0,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.0,0.0,0.0
81,0,0,1,1,1,1,1,0,1,1,1,0,130,38612,393,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
82,0,0,1,1,1,1,1,0,1,1,1,0,247,38612,0,21087,152,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.11975,0.2444,0.0,0.0
83,0,0,1,1,1,1,1,0,1,1,1,0,27,126,150,37,18,0,12,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.4407,0.1222,0.2391,0.0
84,0,0,1,1,1,1,1,0,1,1,1,0,41,38612,36121,21087,0,18662,0,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.2444,0.0,0.0
85,0,0,1,1,1,1,1,0,1,1,1,0,20,173385,13194,60,0,0,19,0,1,1,387,1,740,0.4734,0.09235,0.0856,0.07263,0.0,0.0771,0.1263,0.0
86,0,0,0,1,3,2,1,0,1,1,1,198,78,245,4284,0,50,32,0,2717,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.4219,0.4675,0.0,0.4065
87,0,0,0,1,3,2,1,0,1,1,1,207604,130,153642,9671,39871,0,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.0,0.0,0.0,0.0
88,0,0,0,1,3,2,1,0,1,1,1,0,1236,0,26032,0,1368,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.11975,0.1542,0.1594,0.0
89,0,0,0,1,3,2,1,0,1,1,1,115809,232,76102,4292,37456,137,26404,16513,1725,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.2268,0.0771,0.0797,0.06573
90,1,0,0,1,3,2,1,0,1,1,1,0,77,243,692,0,49,31,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.3552,0.1993,0.0,0.06573
91,0,0,0,1,3,2,1,0,1,1,1,134,34,171,3424,0,21,0,0,25,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.3936,0.0,0.0,0.1631
92,0,0,0,1,3,2,1,0,1,1,1,105983,77,89700,633,43141,49,22701,35614,11276,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.3552,0.0771,0.0797,0.2585
93,0,0,0,1,3,2,1,0,1,1,1,137010,90,26136,2811,33,55,15645,11,864,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.4329,0.3386,0.3386,0.0378
94,0,0,0,1,3,2,1,0,1,1,1,0,241,83113,1702,0,146,58171,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.1511,0.4436,0.0,0.0
95,0,0,0,1,3,2,1,0,1,1,1,0,79,0,9117,21280,51,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.2615,0.0,0.0,0.0
96,0,0,0,1,3,2,1,0,1,1,1,8467,8,8670,601,5140,6,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.2395,0.0,0.0,0.0
97,0,0,0,1,3,2,1,0,1,1,1,75432,79,66840,262,0,51,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.2615,0.0,0.0,0.0
98,0,0,0,1,3,2,1,0,1,1,1,0,232,0,4292,8080,137,0,0,1725,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.2268,0.0,0.0,0.06573
99,0,0,0,1,3,2,1,0,1,1,1,38304,1342,20547,6303,11552,1208,0,0,0,1,193,7356,351,1120,0.2344,0.1847,0.1711,0.4863,0.07556,0.0,0.0,0.0
